note_id,project_id,project_name,note_type,note_title,created_at,note_text,effort_hours
117,HI-DDD-0001,SMART INTAKE DM,general,,30/03/2026 19:17,Definición del proyecto,2
133,HI-DDD-0001,SMART INTAKE DM,general,,22/04/2026 22:22,Carlos avanzó parcialmente en la definición de reglas (master file e itemización). Falta adaptar completamente el flujo del agente a la taxonomÃ­a final.,6
240,HI-DDD-0001,SMART INTAKE DM,general,Seguimiento 2026-05-05,05/05/2026 16:05,No se registraron avances ni cambios en este frente.,0
244,HI-DDD-0001,SMART INTAKE DM,general,Seguimiento 2026-05-11,11/05/2026 16:05,No se registraron avances ni cambios en este frente.,0
248,HI-DDD-0001,SMART INTAKE DM,general,Seguimiento 2026-05-18,18/05/2026 16:05,No se registraron avances ni cambios en este frente.,0
150,LA-COPILOT-0001,Implementación de Copilot,general,,11/02/2026 00:00,"Inicio formal del proyecto Copilot en LATAM. Se validó alcance, objetivos, metodologÃ­a y rol de Champions, dejando lineamientos claros de gobernanza.",0.5
154,LA-COPILOT-0001,Implementación de Copilot,general,,16/02/2026 09:00,"Se revisa inclusión del equipo NOLA en el proyecto. Se confirma participación en entrenamientos, pero no se garantiza licencia para todos por cupo limitado.",0.5
158,LA-COPILOT-0001,Implementación de Copilot,general,,16/02/2026 15:00,Se confirma inclusión al grupo Teams y acceso al calendario de cursos. Se habilita participación activa en entrenamientos del proyecto.,0.5
162,LA-COPILOT-0001,Implementación de Copilot,general,,17/02/2026 00:00,Se aclara que licencias ya fueron definidas fuera del alcance del PM. Las nuevas solicitudes deben gestionarse vÃ­a jefaturas.,0.5
166,LA-COPILOT-0001,Implementación de Copilot,general,,07/03/2026 00:00,Creación de Copilot para generar business case y aterrizar ideas del equipo.,1
169,LA-COPILOT-0001,Implementación de Copilot,general,,20/03/2026 00:00,Creación de business case con ideas que se podrÃ­an desarrollar.,1
171,LA-COPILOT-0001,Implementación de Copilot,general,,10/04/2026 00:00,"Se presentan avances: +30 agentes y feedback del leadership. Se redefine foco hacia adopción, métricas de impacto y control de scope.",0.5
193,LA-COPILOT-0001,Implementación de Copilot,general,,30/04/2026 16:42,Gonzalo presentó el plan de implementación para la gobernanza de IA que creó en conjunto con Xiomara. Las licencias nuevas se darán en Junio,0.5
300,LA-COPILOT-0001,Implementación de Copilot,general,Seguimiento 2026-05-08,08/05/2026 16:05,Se presentaron los principales agentes al board recibiendo feedback y mejoras a implementar.,0.5
304,LA-COPILOT-0001,Implementación de Copilot,general,Seguimiento 2026-05-16,16/05/2026 16:05,PPT de casos de uso actualizado. Se identifico la necesidad de estructurar repositorios en SharePoint para que la IA pueda leer y usar la informacion eficientemente.,1
17,LA-DDD-0001,Client Title PPT,general,/start,20/11/2025 13:37,"comienzo del proyecto.Definición del objetivo del agente, alcance y enfoque de valor (pensar el deck como director de negocio).",1
25,LA-DDD-0001,Client Title PPT,general,,05/12/2025 21:39,"DiseÃ±o de los primeros prompts y reglas del agente. Definición de la estructura de tÃ­tulos estratégicos, descriptivos y storytelling.",1
29,LA-DDD-0001,Client Title PPT,general,,15/01/2026 21:40,"Uso del agente en decks reales para validar claridad, utilidad y ahorro de tiempo.",0.5
33,LA-DDD-0001,Client Title PPT,general,,05/02/2026 21:40,"Ajuste de tono ejecutivo, consistencia de mensajes y mejora de outputs",0.5
37,LA-DDD-0001,Client Title PPT,general,,05/03/2026 21:40,Piloto a mayor escala con el equipo comercial de CAM y equipos seleccionados de Colombia.,1
113,LA-DDD-0001,Client Title PPT,general,,25/03/2026 22:31,Se le solicitó a Olga Tercero apoyo para tener feedback de parte del equipo comercial de CAM,0.5
142,LA-DDD-0001,Client Title PPT,general,,22/04/2026 23:25,Se entregó el copiloto en el kick off de MX,1
186,LA-DDD-0001,Client Title PPT,general,,30/04/2026 16:28,Se envió a los CM el agente para que lo repartieran a sus equipos,0.5
204,LA-DDD-0001,Client Title PPT,general,,19/05/2026 19:27,Se presentó el agente a Chile y Argentina para que realicen sus pruebas,2
45,LA-DDD-0002,Automatización Presentaciónes Python,general,,30/01/2026 20:58,Kick-off y Definición,1
49,LA-DDD-0002,Automatización Presentaciónes Python,general,,07/02/2026 20:59,DiseÃ±o del Framework Base,4
