note_id,project_id,project_name,note_type,note_title,created_at,note_text,effort_hours
117,HI-DDD-0001,SMART INTAKE DM,general,,30/03/2026 19:17,DefiniciÛn del proyecto,2
133,HI-DDD-0001,SMART INTAKE DM,general,,22/04/2026 22:22,Carlos avanzÛ parcialmente en la definiciÛn de reglas (master file e itemizaciÛn). Falta adaptar completamente el flujo del agente a la taxonom√≠a final.,6
240,HI-DDD-0001,SMART INTAKE DM,general,Seguimiento 2026-05-05,05/05/2026 16:05,No se registraron avances ni cambios en este frente.,0
244,HI-DDD-0001,SMART INTAKE DM,general,Seguimiento 2026-05-11,11/05/2026 16:05,No se registraron avances ni cambios en este frente.,0
248,HI-DDD-0001,SMART INTAKE DM,general,Seguimiento 2026-05-18,18/05/2026 16:05,No se registraron avances ni cambios en este frente.,0
150,LA-COPILOT-0001,ImplementaciÛn de Copilot,general,,11/02/2026 00:00,"Inicio formal del proyecto Copilot en LATAM. Se validÛ alcance, objetivos, metodolog√≠a y rol de Champions, dejando lineamientos claros de gobernanza.",0.5
154,LA-COPILOT-0001,ImplementaciÛn de Copilot,general,,16/02/2026 09:00,"Se revisa inclusiÛn del equipo NOLA en el proyecto. Se confirma participaciÛn en entrenamientos, pero no se garantiza licencia para todos por cupo limitado.",0.5
158,LA-COPILOT-0001,ImplementaciÛn de Copilot,general,,16/02/2026 15:00,Se confirma inclusiÛn al grupo Teams y acceso al calendario de cursos. Se habilita participaciÛn activa en entrenamientos del proyecto.,0.5
162,LA-COPILOT-0001,ImplementaciÛn de Copilot,general,,17/02/2026 00:00,Se aclara que licencias ya fueron definidas fuera del alcance del PM. Las nuevas solicitudes deben gestionarse v√≠a jefaturas.,0.5
166,LA-COPILOT-0001,ImplementaciÛn de Copilot,general,,07/03/2026 00:00,CreaciÛn de Copilot para generar business case y aterrizar ideas del equipo.,1
169,LA-COPILOT-0001,ImplementaciÛn de Copilot,general,,20/03/2026 00:00,CreaciÛn de business case con ideas que se podr√≠an desarrollar.,1
171,LA-COPILOT-0001,ImplementaciÛn de Copilot,general,,10/04/2026 00:00,"Se presentan avances: +30 agentes y feedback del leadership. Se redefine foco hacia adopciÛn, mÈtricas de impacto y control de scope.",0.5
193,LA-COPILOT-0001,ImplementaciÛn de Copilot,general,,30/04/2026 16:42,Gonzalo presentÛ el plan de implementaciÛn para la gobernanza de IA que creÛ en conjunto con Xiomara. Las licencias nuevas se dar·n en Junio,0.5
300,LA-COPILOT-0001,ImplementaciÛn de Copilot,general,Seguimiento 2026-05-08,08/05/2026 16:05,Se presentaron los principales agentes al board recibiendo feedback y mejoras a implementar.,0.5
304,LA-COPILOT-0001,ImplementaciÛn de Copilot,general,Seguimiento 2026-05-16,16/05/2026 16:05,PPT de casos de uso actualizado. Se identifico la necesidad de estructurar repositorios en SharePoint para que la IA pueda leer y usar la informacion eficientemente.,1
17,LA-DDD-0001,Client Title PPT,general,/start,20/11/2025 13:37,"comienzo del proyecto.DefiniciÛn del objetivo del agente, alcance y enfoque de valor (pensar el deck como director de negocio).",1
25,LA-DDD-0001,Client Title PPT,general,,05/12/2025 21:39,"Dise√±o de los primeros prompts y reglas del agente. DefiniciÛn de la estructura de t√≠tulos estratÈgicos, descriptivos y storytelling.",1
29,LA-DDD-0001,Client Title PPT,general,,15/01/2026 21:40,"Uso del agente en decks reales para validar claridad, utilidad y ahorro de tiempo.",0.5
33,LA-DDD-0001,Client Title PPT,general,,05/02/2026 21:40,"Ajuste de tono ejecutivo, consistencia de mensajes y mejora de outputs",0.5
37,LA-DDD-0001,Client Title PPT,general,,05/03/2026 21:40,Piloto a mayor escala con el equipo comercial de CAM y equipos seleccionados de Colombia.,1
113,LA-DDD-0001,Client Title PPT,general,,25/03/2026 22:31,Se le solicitÛ a Olga Tercero apoyo para tener feedback de parte del equipo comercial de CAM,0.5
142,LA-DDD-0001,Client Title PPT,general,,22/04/2026 23:25,Se entregÛ el copiloto en el kick off de MX,1
186,LA-DDD-0001,Client Title PPT,general,,30/04/2026 16:28,Se enviÛ a los CM el agente para que lo repartieran a sus equipos,0.5
204,LA-DDD-0001,Client Title PPT,general,,19/05/2026 19:27,Se presentÛ el agente a Chile y Argentina para que realicen sus pruebas,2
45,LA-DDD-0002,AutomatizaciÛn PresentaciÛnes Python,general,,30/01/2026 20:58,Kick-off y DefiniciÛn,1
49,LA-DDD-0002,AutomatizaciÛn PresentaciÛnes Python,general,,07/02/2026 20:59,Dise√±o del Framework Base,4
53,LA-DDD-0002,AutomatizaciÛn PresentaciÛnes Python,general,,17/02/2026 21:01,ImplementaciÛn Parte 1 (Presentaciones Fijas) - coppel,35
